,STUDY_ID,DAY,MONTH,YEAR,SAMPLE_DESC,PLOT,ID_SPECIES,LATITUDE,LONGITUDE,sum.allrawdata.ABUNDANCE,sum.allrawdata.BIOMASS,GENUS,SPECIES,GENUS_SPECIES
1,10,NA,NA,1992,47.400000_-95.120000_1_Treefall_0_Medium,1,23,47.4,-95.12,1,0,Acer,saccharum,Acer saccharum
2,10,NA,NA,1984,47.400000_-95.120000_9_Treefall_Base_Small,9,23,47.4,-95.12,2,0,Acer,saccharum,Acer saccharum
3,10,NA,NA,1992,47.400000_-95.120000_1_Treefall_0_Small,1,1959,47.4,-95.12,2,0,Prunus,virginiana,Prunus virginiana
4,10,NA,NA,1992,47.400000_-95.120000_1_Treefall_0_Medium,1,22,47.4,-95.12,2,0,Acer,rubrum,Acer rubrum
5,10,NA,NA,1992,47.400000_-95.120000_1_Treefall_0_Medium,1,1959,47.4,-95.12,1,0,Prunus,virginiana,Prunus virginiana
6,10,NA,NA,1984,47.400000_-95.120000_47_Treefall_Base_Medium,47,22,47.4,-95.12,1,0,Acer,rubrum,Acer rubrum
7,10,NA,NA,1984,47.400000_-95.120000_47_Control_0_Medium,47,1744,47.4,-95.12,3,0,Ostrya,virginiana,Ostrya virginiana
8,10,NA,NA,1984,47.400000_-95.120000_9_Treefall_Base_Small,9,2405,47.4,-95.12,2,0,Vaccinium,angustifolium,Vaccinium angustifolium
9,10,NA,NA,1984,47.400000_-95.120000_9_Treefall_Base_Small,9,2069,47.4,-95.12,6,0,Rubus,idaeus,Rubus idaeus
10,10,NA,NA,1984,47.400000_-95.120000_4_Treefall_Base_Small,4,607,47.4,-95.12,2,0,Corylus,cornuta,Corylus cornuta
11,10,NA,NA,1984,47.400000_-95.120000_4_Treefall_Base_Small,4,710,47.4,-95.12,1,0,Diervilla,lonicera,Diervilla lonicera
12,10,NA,NA,1984,47.400000_-95.120000_9_Treefall_Base_Small,9,22,47.4,-95.12,4,0,Acer,rubrum,Acer rubrum
13,10,NA,NA,1992,47.400000_-95.120000_1_Treefall_0_Small,1,22,47.4,-95.12,2,0,Acer,rubrum,Acer rubrum
14,10,NA,NA,1984,47.400000_-95.120000_46_Treefall_Base_Tall,46,607,47.4,-95.12,5,0,Corylus,cornuta,Corylus cornuta
15,10,NA,NA,1992,47.400000_-95.120000_1_Treefall_0_Small,1,23,47.4,-95.12,1,0,Acer,saccharum,Acer saccharum
16,10,NA,NA,1984,47.400000_-95.120000_47_Treefall_Base_Medium,47,23,47.4,-95.12,2,0,Acer,saccharum,Acer saccharum
17,10,NA,NA,1992,47.400000_-95.120000_1_Treefall_0_Small,1,607,47.4,-95.12,1,0,Corylus,cornuta,Corylus cornuta
18,10,NA,NA,1984,47.400000_-95.120000_4_Treefall_Base_Medium,4,607,47.4,-95.12,5,0,Corylus,cornuta,Corylus cornuta
19,10,NA,NA,1984,47.400000_-95.120000_4_Treefall_Base_Small,4,135,47.4,-95.12,5,0,Amelanchier,laevis,Amelanchier laevis
20,10,NA,NA,1984,47.400000_-95.120000_5_Control_0_Small,5,1848,47.4,-95.12,1,0,Pinus,strobus,Pinus strobus
21,10,NA,NA,1984,47.400000_-95.120000_9_Treefall_Base_Small,9,607,47.4,-95.12,1,0,Corylus,cornuta,Corylus cornuta
22,10,NA,NA,1984,47.400000_-95.120000_4_Treefall_Base_Small,4,2405,47.4,-95.12,3,0,Vaccinium,angustifolium,Vaccinium angustifolium
23,10,NA,NA,1984,47.400000_-95.120000_9_Treefall_Base_Small,9,2026,47.4,-95.12,1,0,Quercus,rubra,Quercus rubra
24,10,NA,NA,1984,47.400000_-95.120000_5_Treefall_0_Medium,5,2427,47.4,-95.12,10,0,Viburnum,rafinesquianum,Viburnum rafinesquianum
25,10,NA,NA,1984,47.400000_-95.120000_5_Treefall_0_Medium,5,607,47.4,-95.12,1,0,Corylus,cornuta,Corylus cornuta
26,10,NA,NA,1984,47.400000_-95.120000_47_Treefall_Base_Medium,47,24,47.4,-95.12,2,0,Acer,spicatum,Acer spicatum
27,10,NA,NA,1984,47.400000_-95.120000_5_Control_0_Medium,5,2427,47.4,-95.12,2,0,Viburnum,rafinesquianum,Viburnum rafinesquianum
28,10,NA,NA,1984,47.400000_-95.120000_47_Control_0_Medium,47,135,47.4,-95.12,2,0,Amelanchier,laevis,Amelanchier laevis
29,10,NA,NA,1984,47.400000_-95.120000_5_Treefall_0_Small,5,607,47.4,-95.12,1,0,Corylus,cornuta,Corylus cornuta
30,10,NA,NA,1984,47.400000_-95.120000_47_Control_0_Medium,47,1912,47.4,-95.12,2,0,Populus,sp,Populus sp
31,10,NA,NA,1984,47.400000_-95.120000_71_Control_0_Medium,71,22,47.4,-95.12,2,0,Acer,rubrum,Acer rubrum
32,10,NA,NA,1984,47.400000_-95.120000_71_Control_0_Small,71,1474,47.4,-95.12,1,0,Lonicera,canadensis,Lonicera canadensis
33,10,NA,NA,1984,47.400000_-95.120000_9_Treefall_0_Tall,9,607,47.4,-95.12,2,0,Corylus,cornuta,Corylus cornuta
34,10,NA,NA,1984,47.400000_-95.120000_9_Treefall_Base_Medium,9,2069,47.4,-95.12,3,0,Rubus,idaeus,Rubus idaeus
35,10,NA,NA,1984,47.400000_-95.120000_9_Treefall_Base_Medium,9,607,47.4,-95.12,14,0,Corylus,cornuta,Corylus cornuta
36,10,NA,NA,1984,47.400000_-95.120000_4_Control_Base_Medium,4,24,47.4,-95.12,10,0,Acer,spicatum,Acer spicatum
37,10,NA,NA,1984,47.400000_-95.120000_4_Control_Base_Medium,4,607,47.4,-95.12,2,0,Corylus,cornuta,Corylus cornuta
38,10,NA,NA,1984,47.400000_-95.120000_4_Control_Base_Small,4,1848,47.4,-95.12,1,0,Pinus,strobus,Pinus strobus
39,10,NA,NA,1984,47.400000_-95.120000_5_Treefall_0_Small,5,135,47.4,-95.12,2,0,Amelanchier,laevis,Amelanchier laevis
40,10,NA,NA,1984,47.400000_-95.120000_5_Treefall_0_Small,5,22,47.4,-95.12,3,0,Acer,rubrum,Acer rubrum
41,10,NA,NA,1984,47.400000_-95.120000_5_Treefall_0_Small,5,2427,47.4,-95.12,3,0,Viburnum,rafinesquianum,Viburnum rafinesquianum
42,10,NA,NA,1984,47.400000_-95.120000_4_Control_Base_Small,4,24,47.4,-95.12,8,0,Acer,spicatum,Acer spicatum
43,10,NA,NA,1984,47.400000_-95.120000_5_Treefall_0_Tall,5,2427,47.4,-95.12,1,0,Viburnum,rafinesquianum,Viburnum rafinesquianum
44,10,NA,NA,1984,47.400000_-95.120000_4_Treefall_Base_Medium,4,1474,47.4,-95.12,1,0,Lonicera,canadensis,Lonicera canadensis
45,10,NA,NA,1992,47.400000_-95.120000_38_Treefall_Base_Medium,38,23,47.4,-95.12,4,0,Acer,saccharum,Acer saccharum
46,10,NA,NA,1984,47.400000_-95.120000_71_Control_0_Small,71,1912,47.4,-95.12,1,0,Populus,sp,Populus sp
47,10,NA,NA,1984,47.400000_-95.120000_4_Treefall_Base_Small,4,1474,47.4,-95.12,15,0,Lonicera,canadensis,Lonicera canadensis
48,10,NA,NA,1984,47.400000_-95.120000_4_Treefall_Base_Small,4,22,47.4,-95.12,3,0,Acer,rubrum,Acer rubrum
49,10,NA,NA,1992,47.400000_-95.120000_38_Treefall_Base_Small,38,2427,47.4,-95.12,1,0,Viburnum,rafinesquianum,Viburnum rafinesquianum
50,10,NA,NA,1992,47.400000_-95.120000_38_Treefall_Base_Tall,38,1744,47.4,-95.12,1,0,Ostrya,virginiana,Ostrya virginiana
51,10,NA,NA,1992,47.400000_-95.120000_39_Control_0_Medium,39,1959,47.4,-95.12,3,0,Prunus,virginiana,Prunus virginiana
52,10,NA,NA,1984,47.400000_-95.120000_4_Treefall_Base_Tall,4,22,47.4,-95.12,1,0,Acer,rubrum,Acer rubrum
53,10,NA,NA,1984,47.400000_-95.120000_5_Control_0_Medium,5,1912,47.4,-95.12,1,0,Populus,sp,Populus sp
54,10,NA,NA,1992,47.400000_-95.120000_39_Control_0_Medium,39,24,47.4,-95.12,1,0,Acer,spicatum,Acer spicatum
55,10,NA,NA,1984,47.400000_-95.120000_5_Control_0_Medium,5,607,47.4,-95.12,19,0,Corylus,cornuta,Corylus cornuta
56,10,NA,NA,1992,47.400000_-95.120000_39_Control_0_Small,39,1959,47.4,-95.12,1,0,Prunus,virginiana,Prunus virginiana
57,10,NA,NA,1984,47.400000_-95.120000_5_Control_0_Small,5,22,47.4,-95.12,19,0,Acer,rubrum,Acer rubrum
58,10,NA,NA,1984,47.400000_-95.120000_5_Control_0_Small,5,2427,47.4,-95.12,2,0,Viburnum,rafinesquianum,Viburnum rafinesquianum
59,10,NA,NA,1992,47.400000_-95.120000_38_Treefall_Base_Small,38,1912,47.4,-95.12,1,0,Populus,sp,Populus sp
60,10,NA,NA,1992,47.400000_-95.120000_39_Control_0_Small,39,607,47.4,-95.12,7,0,Corylus,cornuta,Corylus cornuta
61,10,NA,NA,1984,47.400000_-95.120000_5_Control_0_Small,5,24,47.4,-95.12,1,0,Acer,spicatum,Acer spicatum
62,10,NA,NA,1984,47.400000_-95.120000_5_Control_0_Small,5,607,47.4,-95.12,3,0,Corylus,cornuta,Corylus cornuta
63,10,NA,NA,1984,47.400000_-95.120000_5_Control_0_Tall,5,607,47.4,-95.12,1,0,Corylus,cornuta,Corylus cornuta
64,10,NA,NA,1992,47.400000_-95.120000_1_Control_Base_Small,1,607,47.4,-95.12,3,0,Corylus,cornuta,Corylus cornuta
65,10,NA,NA,1992,47.400000_-95.120000_1_Control_Base_Tall,1,24,47.4,-95.12,12,0,Acer,spicatum,Acer spicatum
66,10,NA,NA,1992,47.400000_-95.120000_1_Treefall_0_Medium,1,1744,47.4,-95.12,3,0,Ostrya,virginiana,Ostrya virginiana
67,10,NA,NA,1984,47.400000_-95.120000_46_Treefall_Base_Small,46,24,47.4,-95.12,4,0,Acer,spicatum,Acer spicatum
68,10,NA,NA,1984,47.400000_-95.120000_46_Treefall_Base_Small,46,607,47.4,-95.12,7,0,Corylus,cornuta,Corylus cornuta
69,10,NA,NA,1984,47.400000_-95.120000_38_Treefall_Base_Small,38,23,47.4,-95.12,94,0,Acer,saccharum,Acer saccharum
70,10,NA,NA,1984,47.400000_-95.120000_39_Control_0_Medium,39,135,47.4,-95.12,2,0,Amelanchier,laevis,Amelanchier laevis
71,10,NA,NA,1984,47.400000_-95.120000_39_Control_0_Medium,39,607,47.4,-95.12,25,0,Corylus,cornuta,Corylus cornuta
72,10,NA,NA,1984,47.400000_-95.120000_39_Control_0_Small,39,135,47.4,-95.12,3,0,Amelanchier,laevis,Amelanchier laevis
73,10,NA,NA,1984,47.400000_-95.120000_47_Control_0_Medium,47,22,47.4,-95.12,1,0,Acer,rubrum,Acer rubrum
74,10,NA,NA,1984,47.400000_-95.120000_71_Control_0_Small,71,2026,47.4,-95.12,2,0,Quercus,rubra,Quercus rubra
75,10,NA,NA,1984,47.400000_-95.120000_71_Control_0_Small,71,22,47.4,-95.12,7,0,Acer,rubrum,Acer rubrum
76,10,NA,NA,1984,47.400000_-95.120000_71_Control_0_Small,71,23,47.4,-95.12,160,0,Acer,saccharum,Acer saccharum
77,10,NA,NA,1984,47.400000_-95.120000_71_Control_Base_Medium,71,1744,47.4,-95.12,1,0,Ostrya,virginiana,Ostrya virginiana
78,10,NA,NA,1984,47.400000_-95.120000_71_Control_Base_Medium,71,23,47.4,-95.12,2,0,Acer,saccharum,Acer saccharum
79,10,NA,NA,1984,47.400000_-95.120000_4_Control_Base_Small,4,22,47.4,-95.12,45,0,Acer,rubrum,Acer rubrum
80,10,NA,NA,1984,47.400000_-95.120000_4_Control_Base_Small,4,23,47.4,-95.12,11,0,Acer,saccharum,Acer saccharum
81,10,NA,NA,1984,47.400000_-95.120000_4_Control_Base_Small,4,2405,47.4,-95.12,1,0,Vaccinium,angustifolium,Vaccinium angustifolium
82,10,NA,NA,1992,47.400000_-95.120000_12_Treefall_0_Small,12,2026,47.4,-95.12,1,0,Quercus,rubra,Quercus rubra
