Rank,Species ID,Species,Family,SF%_Total,DEN_Total,SF%_Expert,DEN_Expert,SF%_Novice,DEN_Novice
1,204,Blue Tang(Acanthurus coeruleus),Surgeonfish(Acanthuridae),86.92,2.59,93.01,2.62,85.05,2.58
2,213,Bluehead(Thalassoma bifasciatum),Wrasse(Labridae),86.38,3.06,92.02,3.35,84.65,2.96
3,155,Stoplight Parrotfish(Sparisoma viride),Parrotfish(Scaridae),80.78,2.43,86.66,2.47,78.98,2.42
4,42,Blue Chromis(Chromis cyanea),Damselfish(Pomacentridae),74.2,3.25,82.13,3.33,71.76,3.22
5,31,Foureye Butterflyfish(Chaetodon capistratus),Butterflyfish(Chaetodontidae),72.76,2.09,77.24,2.03,71.39,2.1
6,197,Yellowtail Snapper(Ocyurus chrysurus),Snapper(Lutjanidae),72.72,2.73,81.77,2.76,69.94,2.71
7,10,Fairy Basslet(Gramma loreto),Basslet(Grammatidae),70.19,2.81,76.89,3,68.14,2.74
8,48,Bicolor Damselfish(Stegastes partitus),Damselfish(Pomacentridae),69.83,2.69,82.39,2.91,65.98,2.61
9,220,Yellowhead Wrasse(Halichoeres garnoti),Wrasse(Labridae),67.82,2.72,85.65,2.87,62.35,2.66
10,133,Bar Jack(Caranx ruber),Jack(Carangidae),67.06,2.43,84.09,2.46,61.84,2.42
11,108,French Grunt(Haemulon flavolineatum),Grunt(Haemulidae),65.58,2.61,76.06,2.58,62.36,2.63
12,206,Ocean Surgeonfish(Acanthurus bahianus),Surgeonfish(Acanthuridae),60.44,2.46,81.03,2.52,54.13,2.43
13,152,Redband Parrotfish(Sparisoma aurofrenatum),Parrotfish(Scaridae),59.3,2.4,85.12,2.56,51.38,2.31
14,105,Bluestriped Grunt(Haemulon sciurus),Grunt(Haemulidae),58.87,2.34,68.08,2.27,56.05,2.37
15,156,Striped Parrotfish(Scarus iseri),Parrotfish(Scaridae),56.57,2.68,76.48,2.71,50.46,2.67
16,97,Nassau Grouper(Epinephelus striatus),Seabass(Serranidae),55.65,1.64,57.67,1.64,55.04,1.64
17,196,Schoolmaster(Lutjanus apodus),Snapper(Lutjanidae),55.64,2.4,72.52,2.38,50.47,2.4
18,149,Princess Parrotfish(Scarus taeniopterus),Parrotfish(Scaridae),53.75,2.33,64.15,2.47,50.56,2.28
19,167,Sharpnose Puffer(Canthigaster rostrata),Puffer(Tetraodontidae),52.81,1.99,71.23,1.99,47.16,1.98
20,4,Gray Angelfish(Pomacanthus arcuatus),Angelfish(Pomacanthidae),52,1.69,55.21,1.6,51.02,1.73
21,201,Longspine Squirrelfish(Holocentrus rufus),Squirrelfish(Holocentridae),51.87,2.09,71.63,2.13,45.8,2.07
22,5,Queen Angelfish(Holacanthus ciliaris),Angelfish(Pomacanthidae),51.5,1.65,54.82,1.6,50.49,1.67
23,6,Rock Beauty(Holacanthus tricolor),Angelfish(Pomacanthidae),48.74,1.8,53.41,1.73,47.31,1.82
24,117,White Grunt(Haemulon plumieri),Grunt(Haemulidae),46.96,2.19,69.44,2.22,40.06,2.18
