"","SpecCode.x","Species","ComName"
"1",1869,"Monotaxis grandoculis","Bigeye barenose"
"2",1869,"Monotaxis grandoculis","Bigeye bream"
"3",1869,"Monotaxis grandoculis","Big-eye bream"
"4",1869,"Monotaxis grandoculis","Bigeye emperor"
"5",1869,"Monotaxis grandoculis","Bigeye seabream"
"6",1869,"Monotaxis grandoculis","Emperor"
"7",1869,"Monotaxis grandoculis","Grand-eyed porgy fish"
"8",1869,"Monotaxis grandoculis","Humpnose big-eye bream"
"9",1869,"Monotaxis grandoculis","Humpnose bigeye-bream"
"10",1869,"Monotaxis grandoculis","Humpnose sea-bream"
"11",1869,"Monotaxis grandoculis","Hump-nosed bigeye bream"
"12",1869,"Monotaxis grandoculis","Large-eye bream"
"13",1869,"Monotaxis grandoculis","Large-eyed sea bream"
"14",1869,"Monotaxis grandoculis","Levovagan"
"15",1869,"Monotaxis grandoculis","Roundtooth large-eye bream"
"16",1917,"Caranx sexfasciatus","Banded cavalla"
"17",1917,"Caranx sexfasciatus","Bigeye jack"
"18",1917,"Caranx sexfasciatus","Bigeye kingfish"
"19",1917,"Caranx sexfasciatus","Big-eye kingfish"
"20",1917,"Caranx sexfasciatus","Bigeye trevally"
"21",1917,"Caranx sexfasciatus","Big-eye trevally"
"22",1917,"Caranx sexfasciatus","Crevalle jack"
"23",1917,"Caranx sexfasciatus","Dusk jack"
"24",1917,"Caranx sexfasciatus","Dusky jack"
"25",1917,"Caranx sexfasciatus","Giant trevally"
"26",1917,"Caranx sexfasciatus","Great trevally"
"27",1917,"Caranx sexfasciatus","Horse mackerel"
"28",1917,"Caranx sexfasciatus","Horse mackerel trevally"
"29",1917,"Caranx sexfasciatus","Horse-eye jack"
"30",1917,"Caranx sexfasciatus","Jack"
"31",1917,"Caranx sexfasciatus","Kingfish"
"32",1917,"Caranx sexfasciatus","Orange-spotted trevally"
"33",1917,"Caranx sexfasciatus","Six banded trevally"
"34",1917,"Caranx sexfasciatus","Sixband trevally"
"35",1917,"Caranx sexfasciatus","Tille jack"
"36",1917,"Caranx sexfasciatus","Trevally"
"37",1917,"Caranx sexfasciatus","Turrum"
"38",1917,"Caranx sexfasciatus","Yellow jack"
"39",4910,"Myripristis berndti","Bigscale soldier"
