Genus ,Species ,Scientific Name:,Fish Common Name 
,,Chaenomugil leuciscus,acute jawed mullet 
,,,Barred file fish
,,Cetoscarus bicolor,Bicolor parrot 
,,,Bigeye Emperor
,,,Bigeye Trevally
,,,Bignose Unicorn fish
,,,Bigscale soldierfish
,,,Bird Wrasse
,,Macolor macularis,black and white snapper
,,Scolopsis lineatus,black and white spine cheek
,,,Black parrot
,,,Black Snapper
,,,Black spotted Grouper
,,Cheilodipterus Nigotaeniatus,Black striped Cardinal 
,,,Black Tail Sergeant Fish
,,,Black tongue unicorn
,,,Blackbelly Picasso
,,,Blackfin barracuda
,,Neoniphon Opercularis,Blackfin Squirrel fish
,,,Blackspot Snapper
,,,Blacktipped Grouper
,,reoniphon sammara,Bloodspot squirrel fish
,,,Blue banded Surgeon Fish
,,,Blue barred parrot
,,Aprion Virescens,Blue Job Fish (Myers)
,,,Blue smalltooth Jobfish
,,,Blue triggerfish
,,,Bluefin Trevally 
,,Lutjanus Kasmira,Blueline Snapper
,,,Blueline Squirrelfish
,,,Bluespine Unicorn Fish
,,,Boomerang Triggerfish
,,,Brassy Chub
,,Cheilinus faciantus,Breasted Wrasse
,,,Brick soldierfish
,,,Brown Soldier Fish
,,,Bucktooth parrotfish
,,Scarus sordidus,Bullethead parrotfish
,,,Candy cane wrasse
,,Halichoeres hortulanus,Checker board wrasse
,,,Chocolate Surgeonfish
,,,Chub Fish
,,neoniphon argentues,clearfin squirrel fish
,,,Clown Couris 
,,,Clown Trigger fish
,,Gerres argyreus,Comon Mojarra
,,,Convict Tang 
,,,Coral Grouper
,,Tylosurus Crocodilis,Crocordile needle fish
,,Ostracion cubicus,Cube trunk fish
,,,Damelfish
,,,Darkcapped parrot
,,sargoncentron parslin,darkstriped squirrel fish
,,,Dash and Dot goatfish
,,,Double tooth Soldierfish
,,,Doublelined Mackeral
,,,Dragon Wrasse
,,,Emperor Angelfish
,,Acanthurus Nigricauda,Epaulette Surgeon Fish
,,sargoncentron microstoma,fineline squirrel fish
,,,Flagtail Grouper
,,,flame tail Soldier Fish
,,Cheilinus chlorourus,Floral Wrasse
,,,Forsten's parrot
,,,Four Saddled Grouper
,,,Fringelip Mullet
,,,Giant sweetlip
,,Scarus Gibbus,Gibbus Parrot Fish
,,,Glasseye
,,,Goggle
,,,Gold man's Sweet lips
,,,Gold Spotted Rabbit Fish
,,,Golden Travelly
,,,Greasy Grouper
,,,Green Job Fish
,,,Green throat parrot
,,,Grey Emperor
,,,Half moon Trigger fish
,,,Hexagon Grouper
,,,Honeycomb Grouper
,,Lutjanus gibbus,Humpback Snapper
,,,Humpnose unicorn
,,Thalassoma janseni,Jensen's wrasse
,,Lethrinus Olivaceus,Long nose Emperor
,,,Longfinned spadefish
,,,Longjawed squirrel 
,,,Moorish Idol 
,,Parupeneus maltifasciatus,Multi barred goatfish
,,Chilinus undulatus,Nappleon Wrasse
,,,One Spot Snapper
,,,Orange spine Surgeon
,,,Orange striped Trigger fish
,,,Orangebanned Surgeon
,,,Orangefin emperor
,,,Orangefin Soldierfish
,,,Oriental Sweet lips
,,,Oriental sweetlips
,,,Pacific longnose parrot fish
,,,Peacock Grouper
,,,Picasso Trigger Fish
,,,Pinktail triggerfish
,,,Rabbit fish
,,Elagatis bipinnulata,Rainbow runner
,,,Red Breasted Wrasse
,,Aethaloperca roga,Red mouth grouper
,,,Red Parrot or Blue chin Parrot
,,Lutjanus Bohar,Red Snapper
,,,Red Soldierfish
,,,Redlip Parrot fish (Green)
,,,Redlip Parrot fish (Red)
,,,Redspot goatfish
,,,Redtooth triggerfish
,,Pygoplites diacanthus,Regal Angel Fish
,,,Ringtail wrasse
,,Plectropomus laevis,Saddled back grouper
,,,Salenose  or festive Parrot fish
,,,Salenose Parrot fish
,,sargoncentron ittododai,samurai squirrel fish
,,,One spot Sargent Fish
,,,Banded Sergant fish
,,,Scissor Tail Sergeant Fish
,,,Scissor tailed fusilier
,,Thalassoma hardwickii,Sixbar wrasse
,,,Slingjaw Wrasse
,,Trchinotus bailloni,Small spotted pompano
,,Plectropomus areolatus,Squaretail grouper
,,,Stareye parrotfish
,,,Steap Head Parrot Fish
,,,Steep head Parrot fish
,,,Stiped Blanquillo 
,,,Stripped Bristle tooth Surgeon Fish
,,,Surge wrasse
,,,Tailspot Squirrelfish
,,Scrus frontailis,Tan face Parrot fish
,,,Threadfin pampano
,,,Titan Trigger 
,,Cephalopholis Sonnerati,Tomato Grouper 
,,Cheilinus trilobatus,Tripletail Wrasse
,,,Vermiculate parrot
,,,Violet Squirrelfish
,,,Wedge Picasso 
,,acanthurus maculiceps,white freckled surgeon
,,Variola albimarginata,White Lyretail Grouper 
,,,White Spotted Surgeon Fish
,,,Whitecheek Surgeon
,,,Yellow band Parrot Fish
,,,Yellow goatfish
,,Variola louti,Yellow Lyretail Grouper
,,,Yellow margin Trigger
,,Carangoides Orthogrammus,Yellow spotted Trevally
,,Lethrinus remak,Yellow striped emperor
,,Mulloides flavolineatus,Yellow striped goat fish
,,,Yellowblotch Razorfish
,,Mulloides vanicuolensis,Yellowfin goat fish
,,,Yellowfin Surgeon Fish
,,,Yellowlip Emperor
,,Gnathodentex aurolineautus,Yellowspot emperor
,,,Yellowtail Corise 
,,Naso Brevirostris,
